species,latitude,longitude
zea_mays_parv,20.6272,-104.4128
zea_mays_parv,18.8047,-100.9464
zea_mays_parv,20.4206,-102.3467
zea_mays_parv,18.9533,-99.5028
zea_mays_parv,18.975,-99.0303
zea_mays_parv,17.3864,-99.4767
zea_mays_parv,18.3828,-100.1447
zea_mays_parv,18.9631,-101.0575
zea_mays_parv,18.8419,-100.2383
zea_mays_parv,18.64,-100.3564
zea_mays_parv,19.1478,-100.355
zea_mays_parv,19.7153,-104.8031
zea_mays_parv,19.75,-104.7666667
zea_mays_parv,19.26666667,-100.4666667
zea_mays_parv,19.08333333,-100.4666667
zea_mays_parv,19.25,-100.2833333
zea_mays_parv,17.45,-99.48333333
zea_mays_parv,19.18333333,-100.2833333
zea_mays_parv,18.96666667,-99.03333333
zea_mays_parv,18.21666667,-99.23333333
zea_mays_parv,19.06666667,-100.4166667
zea_mays_parv,18.41666667,-99.96666667
zea_mays_parv,18.48555556,-99.79166667
zea_mays_parv,18.50472222,-99.78444444
zea_mays_parv,17.40666667,-99.44305556
zea_mays_parv,17.38638889,-99.47666667
zea_mays_parv,17.36527778,-99.48166667
zea_mays_parv,17.29583333,-99.47305556
zea_mays_parv,17.28666667,-99.48305556
zea_mays_parv,17.18055556,-99.51638889
zea_mays_parv,16.98222222,-99.28305556
zea_mays_parv,16.34916667,-97.02083333
zea_mays_parv,16.32388889,-97.0325
zea_mays_parv,18.97055556,-99.0536111
zea_mays_parv,18.975,-99.03027778
zea_mays_parv,18.95333333,-99.5027777
zea_mays_parv,20.61083333,-104.2258333
zea_mays_parv,20.675,-104.5091667
zea_mays_parv,19.16111111,-101.3286111
zea_mays_parv,18.9375,-101.0480556
zea_mays_parv,18.88277778,-100.9575
zea_mays_parv,18.79388889,-100.9458333
zea_mays_parv,18.80472222,-100.9463889
zea_mays_parv,18.82,-100.9155556
zea_mays_parv,18.85833333,-100.8572222
zea_mays_parv,18.86194444,-100.8441667
zea_mays_parv,19.23083333,-100.4911111
zea_mays_parv,19.28111111,-100.4344444
zea_mays_parv,20.15333333,-102.3641667
zea_mays_parv,20.62861111,-104.4197222
zea_mays_parv,19.76361111,-104.7066667
zea_mays_parv,19.94333333,-103.9952778
zea_mays_parv,19.52833333,-104.0591667
zea_mays_parv,19.89944444,-104.1716667
